class,normalized_mfcc_features
artifact,"[ 0.32115388  0.49071481  0.3947403  -1.04100543 -0.819789   -0.74334573
 -1.71028983 -1.5795179  -1.21756162  0.74191075  0.94001319  0.94249137
 -1.29667561 -1.07222744 -0.29433613  1.67314165  1.48814095  1.00643666
 -1.54620656 -1.31787741 -0.53171805  2.18158073  2.45801372  1.99715313
 -1.63171804 -1.60039754 -0.95917868  2.00325963  1.97750697  1.44094543
 -1.1673344  -1.30197881 -0.54132228  2.15787495  2.46154051  1.45702312
 -0.7003904  -1.00493378 -0.14791694  1.81983435  1.74759129  0.54397919
 -1.41668286 -1.04479458  0.14809998  1.96020651  1.70376385  0.72787337
  0.14691642  0.14646145  0.53556548 -0.18995627 -0.08579955 -0.41884778
 -0.2483063  -0.67118576 -0.3998168  -0.58765427 -0.73860655 -1.15087804
 -0.64944769  0.01175011  0.57319208 -0.42728485 -0.64406671 -0.89652182
  0.45538739  0.44436687  0.48764159 -0.90138721 -0.4855939  -0.12997615
  1.5567181   1.16791804  0.78395916 -2.0907765  -1.6461752  -1.15426953
  1.61173144  1.47453244  1.00928237 -3.75716916 -3.11598392 -2.32242964
  2.43382924  2.21478231  1.61517056 -2.91314453 -2.46020022 -1.60563602
  2.69071679  2.33616226  1.26684902 -1.84344208 -1.87818763 -0.97617391
  2.44610505  2.45918521  1.27068876 -1.1311521  -1.30223743 -0.30645372
  1.37496393  1.59652131  0.41476004 -0.45510136 -1.30199941 -0.53299335
 -0.7059187   0.11278757 -0.14025875 -0.1397537  -1.27684921 -0.63866651
  1.23708     1.79026204  1.08849714  0.53221753  0.23931113  0.69877631
 -0.99636887 -0.73705101 -0.83445631  1.48788154  1.20436616  1.28876387
 -1.88210274 -1.23374789 -0.97325404  1.43551266  1.36382535  1.46841691
 -0.27213628 -0.02523402 -0.36138777  0.95993764  1.11591512  0.85541305
 -0.59789524 -0.52592637 -0.56169189  1.2592228   1.20015026  0.51228297]"
artifact,"[-0.37162588 -0.14892951 -0.14819093 -1.27702454 -1.6723835  -1.85641388
 -0.07012263  0.41931182  0.64745735  0.80480323  0.36345626  0.10129068
  1.27018025  0.75248094  0.25347748  0.78009275  1.03429644  1.33999235
  0.4061241   0.71091568  1.12339876  0.30344096 -0.2498101  -0.71713494
  0.04769804 -0.53630558 -1.39732226  0.55600449  0.29487494 -0.06090147
 -0.48122674  0.06641139  0.88526002  0.09338615  0.88549004  0.99618036
 -1.29653269 -1.15495575 -1.54968445  2.09793464  1.4307302   1.0193416
 -1.8229616  -1.17856669 -0.73252517  1.16536404  0.06475907 -1.24317118
 -1.23510855 -1.48105488 -2.21023584  1.58017937  1.68678433  0.90284862
 -1.40755847 -2.30175706 -2.36829788 -0.04239279  0.82330437  0.70040418
 -1.63739942 -1.21931236 -0.45045817  1.74312957  1.56751395  1.22632724
 -1.0045528  -1.57668892 -1.58873364  0.85482808  1.46411455  1.40357304
 -0.48016628 -0.86587514 -0.42815864  1.02440579  1.90450726  1.65373496
 -1.31873292 -1.33301983 -0.92915164  1.73036774  1.49136116  1.31899399
 -2.39255538 -1.67006453 -0.67168526  1.01356611  0.94936379  0.63677995
 -2.74855764 -2.16654013 -2.49505312  0.18881077  0.87590297 -0.10177014
 -1.69041572 -1.78028748 -0.7486843   0.37757197  0.62469006 -0.05636035
  0.63051417 -1.04893906 -1.29321423  2.10652426  1.46386401  1.0473981
 -3.18550855 -2.18396385  0.12397276 -0.32354212  0.39142168  0.10700487
  0.26235611 -0.38868588 -0.13719061  0.92033398  0.86224724  0.5730919
 -0.75763444 -0.77556701  0.23425427  0.00689157  0.1946767   0.06454398
 -1.63223688 -0.51850621  0.37732525  0.29661331  0.4650592   0.31203029
 -0.57801941 -1.22667379 -0.36941202  0.28600253  0.22180331 -0.70394723
 -0.39935907 -0.71534022 -0.5458403   0.19801474  0.32284847 -0.40283333]"
artifact,"[-0.47572309 -0.27431196 -0.26535457 -0.67949143 -0.98090792 -1.14394608
 -1.10546318 -0.82545912 -0.70892666  2.09590901  2.00491934  1.95912444
 -0.26670737 -1.1560284  -1.93956684  2.24499619  2.70975022  3.17727833
 -0.75594168 -0.66903573 -0.36321847  1.85762381  1.88996675  1.93345534
 -1.58230587 -2.66347772 -3.78617448  1.67234402  1.69320467  1.41491104
 -1.65980272 -1.87059039 -1.70686498  1.14423337  2.28945033  3.05167803
 -2.08597831 -1.89595872 -2.43793172  1.66867671  1.31883119  0.99895338
 -0.15329176 -0.29970721 -0.2450478  -0.43597931 -0.27715618 -0.68530905
  0.43616513 -0.89649045 -2.23944834 -0.56038168  0.34434101 -0.29412456
  1.0737762   0.12991901 -0.39981033 -1.70610049 -1.39306872 -1.60310691
 -0.16086124  0.52831665  0.9943352  -0.97136435 -0.64521954 -0.34922845
  1.581084    1.07118547  0.85410275 -1.13033019 -1.27763552 -1.47780132
  0.91873538  1.33790616  1.74491628 -0.27101323 -0.71249349 -0.76060589
  0.39246844  1.61884216  1.84792059 -0.79609675 -1.41557783 -1.52868991
  1.31658695  1.60563376  2.16185832 -2.35007294 -1.87524899 -1.42314995
  0.88566019  1.07943166  1.22632267 -3.06328675 -2.48491328 -3.35237802
  0.29205515  1.15359312  0.969517   -1.54244893 -1.96119037 -1.59727846
  0.20147378  0.7376786   0.73203729  1.16343916 -1.01874659 -2.10408779
  1.78787981  1.32837975  1.49891898 -1.92846595 -1.48139616 -0.23538469
 -0.98875023 -0.07903734  0.42214209  0.69907919  0.06817626 -0.27304933
  0.44230368  0.31562708  0.38918812 -0.37235023 -0.2962368   0.3712771
 -0.69257672 -0.73511357 -0.14981241 -0.5280518   0.53209009  0.79261392
 -1.09552825 -0.66208907 -0.18847395  0.7266093   0.09470768  0.52677941
 -1.29436114 -1.42727905 -1.50902379  0.86936418  0.69527393  0.25000578]"
artifact,"[ 0.19055028  0.34651906  0.22997681 -1.5486611  -1.75778117 -1.77737943
  0.18072212  0.15267726  0.36163307  1.00358977  0.75359859  0.78486559
  0.41827891  0.54186591  0.75269948  0.05281473 -0.20829443 -0.13660583
  0.56353936  0.54463963  0.67784122  0.32756059  0.1322317   0.08757667
 -0.16826479  0.08313247  0.32180706  0.40752575  0.26782617  0.40884687
  0.00608065  0.04080076  0.27367314  0.92557384  0.56817326  0.4663084
 -0.42180152 -0.62219384 -0.60108962  0.77657128  0.65960707  0.62915357
 -0.58748366 -1.04388048 -0.85314329  1.82992682  1.68285635  1.53014539
 -0.99446345 -1.10910544 -0.89143064  1.52650213  1.83644839  1.90119169
 -1.39547835 -1.64748389 -1.36068909  0.63558729  0.90045413  1.05111516
 -1.30883913 -1.68461372 -1.68008421  1.18100964  1.42974105  1.41153053
 -1.23817655 -1.53134897 -1.46233916  0.95152767  0.99533869  0.87887581
 -1.44976623 -1.62375344 -1.29684595  1.22431468  1.25131505  1.11954252
 -1.50330214 -1.6260176  -1.08108844  0.97441859  1.17609012  1.10473211
 -1.10977692 -1.34771947 -0.93119403  1.25083573  1.24649827  0.85687627
 -1.1875386  -1.48842577 -1.0766226   0.92972507  1.07461184  0.53399605
 -0.84767196 -1.34405978 -1.07617749  1.01128234  1.25717541  0.79476635
 -0.45997666 -1.2354774  -1.14885222  0.75641969  1.13789659  0.40988018
 -0.43609278 -1.21860417 -0.90504687  0.2522524   0.96218364  0.66824515
 -0.35122815 -0.28667871  0.61434859  0.06418881  0.69523771  0.55709308
 -0.32023112 -0.03703149  0.4594997  -0.18078184  0.4074055   0.16425157
 -0.66441384 -0.28884128  0.47394404 -0.28239658  0.41282868  0.35295141
 -0.60827174  0.05373034  1.34098663 -0.3436517   0.68054825  0.89777112
 -0.64616705 -0.71198911 -0.56328964 -0.29059316  0.12681863 -0.24690769]"
artifact,"[ 0.10712161  0.24675789  0.13110078 -1.07946962 -1.16335338 -1.13896756
 -0.63626825 -0.92946328 -0.87396983  2.04217518  2.0836168   2.31988462
 -0.63345755 -0.92419348 -0.99860929  1.07097187  1.22705875  1.62010353
 -0.31254988 -0.71653791 -0.82643747  1.46951439  1.80289031  2.1944624
 -1.15613451 -1.57715498 -1.81877653  0.99849653  1.37203876  1.93014286
 -0.65609704 -1.3826626  -1.72117373  1.15519873  1.53695261  2.02398175
 -0.05537292 -1.13293953 -1.68917423  0.25202562  0.68525246  1.18283888
  0.2287867  -0.75442679 -1.1192926   0.48525111  0.62675469  1.020369
  0.89194919  0.34734484 -0.00737689 -0.47429609  0.0606176   0.50691607
  0.89992919  0.72958888  0.60506776 -1.26082894 -1.06229297 -0.76872114
  0.49915588  0.45281608  0.48722372 -0.95598636 -1.07891972 -1.15609553
  0.92795642  1.14421339  1.3057293  -0.92993637 -1.31370728 -1.5782016
  0.47612504  0.72088312  1.02078256 -0.97781932 -1.42402357 -1.56887269
  0.65552944  0.98909071  1.32130792 -1.22308262 -1.58175741 -1.49941538
  0.71642714  1.16708598  1.63678701 -0.62051272 -1.22397551 -1.33393768
  0.66847829  1.0544433   1.24500563 -0.77224598 -1.45750888 -1.47827042
  0.50546586  0.91584459  1.00520753 -0.28097863 -1.1588751  -1.46086221
  0.39287737  0.98511794  1.17709901  0.20455313 -0.92467877 -1.46099694
 -0.15115259  0.4449633   0.42749597  0.3775122  -0.39790127 -0.84160296
 -0.35013155  0.19260361  0.38369105  0.25163744  0.33703107  0.6539026
 -0.49642174 -0.14601349  0.1198202   0.09341191  0.62130239  0.79374994
 -0.73440071 -0.4678085  -0.31639571  0.19951112  0.94877528  1.08149138
 -0.87369232 -0.7143077  -0.44176274 -0.05853472  1.08785225  1.77076321
 -1.03198256 -0.44081931  0.38637643 -0.11852923  0.76351012  0.78820538]"
artifact,"[ 1.00614748e-03 -1.85936835e-01 -4.66926251e-01 -6.69997469e-01
 -7.47789375e-01 -6.47344918e-01  8.06263555e-01  1.14574184e+00
  1.67780190e+00  4.33565426e-01  4.67305860e-01  5.73167088e-01
 -3.59288975e-01  1.68768166e-01  1.12689262e+00 -1.12350407e-01
 -1.07128712e-01 -4.78493380e-01  5.35443897e-01  7.87771351e-01
  1.02921455e+00  2.01310174e-01  4.05219663e-02  2.11521435e-01
 -3.46945619e-01  2.34464240e-01  3.22632498e-01  2.97540208e-01
  2.00137132e-01 -1.38528787e-01  2.60142855e-01  5.86020848e-01
  7.34436370e-01  2.39723153e-01  1.57882574e-01  3.68012368e-01
 -1.34961014e+00 -1.07053877e+00 -9.59046095e-01  1.07048450e+00
  1.50478461e+00  1.58915019e+00 -1.94365984e+00 -2.05635285e+00
 -9.52444407e-01  1.64003864e+00  1.85333292e+00  1.49981759e+00
 -1.65105559e+00 -1.54042914e+00 -2.15013444e+00  1.37018665e+00
  1.48338625e+00  1.45684416e+00 -1.44657620e+00 -1.34464929e+00
 -7.51637672e-01  1.88635620e+00  1.99876004e+00  1.49480271e+00
 -1.52202378e+00 -1.45744119e+00 -1.59237280e+00  8.06789909e-01
  9.30326488e-01  3.50125507e-01 -9.00567106e-01 -8.64721636e-01
 -3.96573727e-01  1.37780004e+00  1.37836556e+00  9.42972029e-01
 -2.11506364e+00 -1.43250017e+00 -4.18168088e-01  9.82186423e-01
  8.18950062e-01  4.08315604e-01 -6.64824305e-01 -4.45019251e-01
 -4.50054814e-01  2.98983353e-01  4.18027492e-01  1.06435487e+00
 -1.93585035e+00 -1.39998727e+00 -7.76978420e-01  1.46708919e+00
  9.26827559e-01  7.48345678e-01 -1.29813960e+00 -1.26907825e+00
 -1.19775896e+00  2.25439556e+00  1.53632433e+00  1.91319343e-01
 -2.25044511e+00 -1.67045609e+00  5.00963064e-02  1.86910043e+00
  9.71393894e-01  1.86832850e-01 -1.64842198e+00 -1.49476207e+00
 -4.75713904e-01  2.61548356e+00  1.38026987e+00 -1.42772463e+00
 -2.87124923e+00 -2.36343338e+00 -4.28087637e-01 -1.67731385e-01
  3.92908586e-01  1.04888678e+00  8.66180574e-01  4.89220230e-01
  2.19248197e-01  6.37404034e-02  6.37254106e-01  2.01441891e+00
 -5.98110743e-01 -6.31099566e-01  2.20947015e-01  5.52469992e-01
  1.13325036e+00  7.09167185e-01 -1.32358498e+00 -2.36018700e+00
 -2.24014509e+00  2.68166554e+00  3.16242811e+00  6.22449129e-01
 -5.68720867e-01 -1.20142545e+00  7.91827061e-01 -1.32695920e+00
 -6.72166351e-01 -1.26659489e+00  1.75110099e+00  9.76478489e-01
  7.89880226e-01  2.04724061e+00  1.26511180e+00 -2.10085376e+00]"
artifact,"[-0.05196558 -0.25279948 -0.56233749 -0.32555417 -0.34376114 -0.22488223
  0.16884726  0.36610602  0.77607522  1.32009633  1.50917828  1.79895053
 -1.1809239  -0.89762172 -0.16215637  0.55285857  0.79791047  0.97867379
 -0.09911032 -0.03428271 -0.13317378  0.98872619  1.13193308  1.84994587
 -0.90758948 -0.75905553 -1.10437846  0.54111681  0.81441286  1.02262692
 -0.10202415 -0.25829466 -1.02481287  0.56697381  0.92659676  1.51061249
 -0.98164206 -1.21053273 -1.68387624  0.13672669  0.75689785  1.13510427
 -0.29460717 -0.27488788  0.06938093 -0.38427372 -0.34360398  0.2496219
  0.6296147   0.95995707  0.28052781 -1.0075143  -1.00795547 -1.41237128
  0.75179268  1.08427786  1.70502692 -0.72706698 -0.7404528  -0.6804712
  1.30849369  1.64409087  1.56161218 -1.4389808  -1.56378542 -2.15901327
  0.63083257  1.07574768  1.16794551 -0.22529677 -0.61722001 -0.86474345
  0.38283309  0.97546263  1.13723248 -1.6441776  -1.42167835 -0.85924251
  0.52293673  0.72739789  0.56944936 -0.06161485 -0.13995014 -0.32187102
 -0.75497964 -0.26856499  1.23786413 -0.64813817 -0.50144591 -0.69741586
  0.25218731  0.0621371   0.66438765 -0.12341561 -0.38811392 -1.46086772
  1.0350821   0.64880225  0.30812393 -0.96746919 -0.71248276 -0.05522139
  0.73603767 -0.07475675  0.1587866  -0.47872255 -0.46731245 -0.3856887
  1.16208802 -0.01671683 -1.79401654 -0.78861985 -0.65156564 -0.54707891
 -1.64411253 -0.89646013  1.06945299  1.81795882  1.22768228  0.32044549
 -0.6422199  -0.02197658  1.77267665 -0.06702643 -0.28484097  0.76907841
 -0.22214703  0.649278    0.66625721 -0.17997026 -1.05526141 -1.25567705
  0.97302873  1.0503207  -1.09977277  1.64171779  1.34262462  2.04785077
 -2.63047195 -2.54332827 -2.21717931  0.89832531  1.04530076  1.38609829]"
artifact,"[ 0.08388088  0.14599819  0.08447737 -0.27863707 -0.35319813 -0.35727671
  0.17668113  0.07091712  0.13951361  0.01300473 -0.10695915 -0.05549191
  0.22497888  0.16446406  0.05197294 -0.21094522 -0.52962166 -0.52089954
  0.562568    1.69068159  2.09364821  0.04861388  0.35227273  0.55870802
 -0.21158884 -0.44706541 -0.57908919  0.26480128 -0.1808101  -0.38153762
 -0.23570771  0.03475238  0.28591071  0.0290993   0.00281958  0.0900973
 -0.50964377 -1.39935583 -2.00779252  0.51873182 -0.20622174 -0.636177
 -0.94933262 -1.04715964 -0.71847195  0.93764741  1.56651409  1.77215381
 -1.56961547 -2.01083782 -1.92380359  1.90815728  1.61263457  1.27814989
 -1.84477971 -1.09135239 -0.33704695  0.70043354  1.13383922  1.40546272
 -1.11767809 -1.15636573 -1.04843799  0.71611866  0.36259358 -0.07749701
 -1.56641632 -1.24905404 -0.94357644  1.3075908   0.70561187  0.57560887
 -1.37778227 -1.71590508 -1.85508389  1.58654321  1.35869592  0.64915373
 -1.45984826 -2.33166102 -2.06239675  1.37132554  2.07961315  2.05936859
 -1.3029512  -2.36365189 -1.98980559  1.55291445  1.54326404  0.85620579
 -1.41586336 -1.84910838 -0.8002914   1.14025565  1.03740209  1.00952672
 -1.26864393 -1.13867462 -0.34379649  1.91629866  0.95128611 -0.03768834
 -0.05700695 -1.27746154 -0.91268613  1.48592836  2.27706873  1.6953452
  0.43849201 -2.16001438 -1.79205138  1.10925995  1.67802251 -0.10387013
 -0.76330026 -1.2552003  -0.83072342  1.35789722  1.1318978   0.60042338
 -1.39011681 -1.21712567 -0.76589457  0.96346405  0.6740735   0.17263396
 -1.23428297 -1.57335433 -1.19465691 -0.50079891  0.81431153  1.34072366
 -0.32665998 -1.01862144 -0.32115661 -0.24539912  0.52553568 -0.02228685
  0.95780171  0.24550229  0.27635494 -1.43463407 -0.60654315 -0.61853433]"
artifact,"[ 0.00865102  0.0468592   0.02609347  0.13826372  0.15209892  0.00415044
 -0.48495479 -0.75379067 -0.47877716  0.93556929  0.98006523  0.6957837
 -0.77137848 -1.01548777 -0.71182769  0.71302957  0.51651322  0.06157024
 -0.29780666  0.48630375  1.25576296  1.06054375  2.12334901  1.9401971
 -1.10291897 -1.77154848 -1.22389609  0.79568747  0.70546475 -0.02169015
 -0.70118509 -1.17333326 -0.39761926  0.2622464   0.94271734  0.49630041
 -0.44870141 -1.54316439 -1.25957668  0.15414847 -0.33279658 -1.67933448
 -0.23040958 -1.00197363 -0.22244527  0.03745879  0.67881539  0.40060213
 -0.32415228 -0.19071537  0.51628748 -0.10716606 -0.75119377 -1.60127325
  0.70787501  1.096454    1.68719209 -1.50044184 -0.80251926 -0.50175103
  0.56408687  0.86101012  1.3143964  -0.73324185 -1.05439807 -1.37948431
  0.03908883  0.0419845  -0.09026581 -0.68415258 -0.60612944 -0.38918314
  0.59965356 -0.15110614 -0.33268801 -0.65405062 -0.75475666 -1.11339313
  0.70563426  0.26516139 -0.31647808 -0.78837216 -1.46770906 -1.19986134
  0.68719752  1.44761807  1.57671586 -0.49462872 -1.92251646 -1.69502821
  0.68798755  1.13557393  0.49463571 -0.73101571 -1.55295482 -0.32887873
  0.36221432  0.55812498  0.55430646 -0.41944395 -0.55634025  0.20017548
  1.10809845  0.33777627 -0.78152518  0.94644691 -0.62611878 -0.26353287
  0.34950043  1.40966249  0.87983266  1.30199365 -0.91085999 -0.95860855
  0.37202594  0.69173207 -0.68330491 -0.05941599 -0.24228133 -0.33223313
  0.55528252  0.18336641  0.07677581 -0.74581505 -0.50380101 -0.4993413
 -0.26895485 -0.50054342 -0.33567282  0.65494648  0.17561776 -0.44592143
 -1.98500727 -1.06273826  0.21446564  0.96978307  0.9461291   1.04819042
 -1.7499516  -1.75551388 -1.17565606  1.80251324  1.99039882  1.17088453]"
artifact,"[-0.46761154 -0.47387777 -0.33765469 -0.70976472 -0.86422145 -1.07835632
  1.6055169   1.59063788  1.5716813   0.35106557  0.59561259  0.70427411
  1.08064449  1.18472114  1.26664771 -0.35150823 -0.4542502  -0.55654224
  1.27667574  1.1047904   1.01783855 -0.85779959 -0.95329413 -0.75599321
  0.83848501  0.84677524  1.02928027 -0.19344298 -0.06624372  0.0835877
  0.50569982  0.29797037  0.36889019 -1.91964684 -0.92909627 -0.50118177
  0.28535878 -0.1017953   0.46947563  0.3845119   0.51485345  0.42373939
 -0.14187224  0.32062947 -0.06366014  0.10588645 -0.29858556 -0.15438238
  0.49180807 -0.95072664 -0.96100353 -0.15067367  0.8877814   0.28947112
  0.48102937  0.30427889  0.459435    0.62919158  0.51677508  0.76932197
 -0.79209925 -0.84425338 -1.03841873  1.20179713  1.18527793  1.23548182
 -0.79736608 -0.32893882  0.14370783  0.16345363 -0.02431908 -0.57468528
 -0.37436523 -0.20814263 -0.72539372 -1.09123461  0.383663    0.64469101
  1.07336618 -0.47094766 -0.50702864  1.2854263   0.25522468 -0.89239327
 -0.22944647  0.57745634  0.8189917   1.17137861  0.81402202  0.03184623
 -0.40091791 -1.4592296  -1.73691169  0.15068234  0.17739577 -0.02819596
  0.12297985  0.74224898  1.1938492   0.91371062  0.64927208 -0.32858234
  0.4496093  -0.09850425 -0.37680679 -1.8132812  -0.78652376 -0.05763589
  0.69229977  1.92413745  2.10998528  0.81845368 -0.37175438 -0.8661218
 -2.22556106 -2.21356064 -0.6862244  -0.18935389  0.68325831  1.25066216
  0.24040187  0.97940058  0.95967704  1.12330171  0.14682243  0.12859237
 -0.94657315  0.0110049   0.66040746 -1.98920757 -0.99733292 -0.84266701
  1.7648743   0.66620715  0.55229461 -2.1964795  -1.66971919 -1.96018087
  1.45799599  0.46151465 -0.08505551 -1.7716297  -1.49640866 -0.55515048]"
artifact,"[-0.55070833 -0.56468197 -0.41785499 -0.36588933 -0.42531031 -0.81148499
  0.87672341  0.769656    0.92680653  1.49689948  1.69855242  1.53032375
  0.0639312   0.01772759  0.65029681  0.68584307  0.6715218   0.13421667
  0.38565952  0.17447925  0.31035456  0.58124592  0.51930823  0.11079136
 -0.57689083 -0.76130186 -0.05390454  0.79424777  0.96663497  0.79398119
 -0.16561807 -0.63656459 -0.25947903 -0.88305051 -0.14519971 -0.41780332
 -1.08611286 -0.76251734  0.25640332  0.46675886  0.19012618 -0.07859764
  0.42311708  1.09063979  1.01379386 -0.55871281 -0.69886984 -1.00369223
  0.95126641 -0.15951672  0.0811799  -0.71888326 -0.84356775 -1.57408552
  0.39660302  1.57707949  1.52386958  0.22850844 -0.39330216 -0.16648351
  0.13581796  0.58045045  0.60465972 -0.61185503 -0.83919376 -1.04215839
  1.35745484  1.61835462  1.58446855 -1.38192153 -1.05747914 -0.46698634
  0.68877126  0.47275936 -0.3014172  -1.11774944 -0.32362246 -0.24808551
 -0.96055254  0.26193098  0.51087342  1.29140122 -0.62749641 -1.21509326
  0.93009861  0.53329085 -0.71438184  0.21415115  0.75071268  0.94155804
  1.45666689  0.56625773 -0.23621558 -0.68264256 -1.63487122 -1.54909452
  0.42657632  0.50856326  0.23299007  0.15955677  0.64460994  1.51643403
  1.43205967  0.88611219 -0.01701893  0.23269585 -0.2006319  -0.17301952
 -2.23522649 -0.99473838  0.04618545  0.07396843  1.57780263  1.29266723
  0.86575283  0.24969722 -0.1445639  -2.16864043 -2.27313976 -1.30944417
 -0.28052451  0.2996449   1.22907966  0.44005726  1.25573287  0.89812536
  1.3369508   0.4153138   0.57869871  0.11559821  0.40693978  0.3407076
 -3.44353914 -1.42762363 -0.30949184  1.52345504  0.66948217  0.02342431
 -2.22185458 -1.4963904  -1.35708829  0.66090058  0.15890514 -0.64254031]"
artifact,"[-0.4281415  -0.44013888 -0.44607859 -0.88867827 -1.02431285 -0.98947738
  1.79544439  2.01360572  1.96984339  0.72670025  0.60274504  0.37190648
  0.58678391  0.66398906  0.68294286 -0.02005524 -0.17052353 -0.05120591
  0.90315668  0.73857233  0.72833428 -1.07185036 -0.61787904 -0.57567188
  1.79800222  1.49870241  1.45504216 -0.8046857  -0.45390836 -0.54872235
  1.73351474  1.22004701  0.86519345 -0.31345808  0.23114017  0.1342728
  0.09907583  0.12098405 -0.32029243  0.23079481 -0.17567296 -0.32387535
  0.09158355  0.36053365  0.50670617  0.44149773  0.65647346  0.45134577
 -0.50714719 -0.51985391 -0.2669983   0.40170027  0.47427596 -0.06785783
  0.28156342  0.39388052  0.8238571   0.46781732  1.18387062  1.12005776
 -2.00173603 -2.1760963  -2.10086142  1.787837    1.60489826  1.23940452
 -1.41376209 -1.31865023 -0.79917404  0.47568116  0.83444295  0.41376043
 -0.48080636 -0.84329678 -0.19386908  1.54174352  0.99653079  0.30949052
 -1.25963785 -0.65805417 -0.21009489  0.13361794  0.37466158  0.31338427
 -0.27162304 -0.18134662 -0.2361116   1.01267714  0.71940087  0.40519835
  1.05614751  0.25845453  0.03071429  0.92287185  0.54434353 -0.73815796
  2.56942183  0.59567178  0.6238908  -1.02714746 -0.21720563  0.12162131
  2.10920293  0.15147883  0.01060312 -1.79727153 -0.48875055  0.4772365
  3.4199881   1.86234741  0.78511764 -0.19651349  0.83814559  0.60702668
 -0.63758348 -0.06433306  1.46316946  0.26231377 -0.07823069  0.57296674
  0.37702633 -0.79230784 -0.3760051  -2.29130115 -1.2769321  -1.03523794
 -0.53978019 -1.21073786 -1.78256145  1.18517004  0.74616432  0.02447859
  0.69901855  0.75166521  0.73309708  0.10599554 -0.93356366 -2.27827565
  0.19377473  0.02979972 -0.8045868   0.47142223 -0.23231763  0.47676932]"
artifact,"[-0.49467516 -0.52408943 -0.51598992 -0.52919982 -0.57854778 -0.65622947
  1.08724142  1.1240854   1.2230428   1.79410759  1.86208669  1.44214614
 -0.4091668  -0.5960058  -0.36868653  0.77681674  0.95487281  0.8771151
  0.2272483  -0.18260205  0.06470985 -0.11290478  0.59911583  0.3579222
  0.66149028  0.05654742  0.46529669  0.27021686  0.69002887  0.37794745
 -0.04222202 -0.37165117 -0.24008694  1.16879999  1.37002865  0.69593794
 -0.70054312 -0.26978462  0.05275527  0.48756426 -0.06199889 -1.06757948
  0.20643392  0.27904207  0.95465287  0.13829913  0.31511362 -0.3999261
  0.14841549  0.39145813  1.00310006 -0.54695713 -0.54933772 -1.21911482
  0.69933196  0.83438164  1.0410245   0.33422719  0.60858895  0.72103395
 -0.61825437 -0.03976518  0.16024463 -0.97470975 -1.3695116  -1.75561657
  1.44608582  1.54771674  1.63830185 -1.65661952 -1.57251633 -1.55019304
  0.89093357  1.18992843  1.08155085 -0.48293306 -1.20625686 -0.86815762
  1.27276436  1.30091113  0.5947019  -1.77692787 -1.14789718 -0.41682064
  0.9422437   0.88348651  0.48479036 -0.55448056 -0.30489288 -0.17374189
  1.40770987  0.92471247  0.43622984  0.7181308   0.07804856  0.04447012
  1.27516588  0.80276118 -0.36466288  2.20436349  0.50744603  0.61850488
 -0.95418009 -0.36116154 -0.2592463   2.23955403  0.22112942  0.27832326
 -1.69642452 -0.7988146   0.4186304   2.26035581  1.6104152   0.48322463
  0.45102085  0.98123884  0.38365494 -1.11485984 -0.11579126  0.99326118
  0.66294492 -0.068129    0.44817442  0.53035313 -0.80416743 -0.83721062
 -1.65878672 -1.44284196 -0.92985065 -1.53491113 -1.20510993 -1.76031482
  1.31734903 -0.01583706 -0.20971328  0.62843946  1.69603199  1.47540178
 -0.22661971 -1.32967675 -1.53136238 -0.03164698  0.16657674 -1.60105765]"
artifact,"[-0.16417062 -0.17000557 -0.16048753 -1.61056163 -1.71222873 -1.7819722
  1.07217452  1.06345368  1.26240336  1.36148054  1.36194363  1.06172814
  0.56653628  0.73514281  1.3280314   0.44674509  0.53419453  0.10632469
  0.41911451  0.47478273  0.91330469  0.02856212 -0.51630066 -1.16465651
  0.95764343  1.31309902  1.9141944   0.14046994  0.09344259 -0.30004961
 -0.00646914  0.34450899  0.96891338  0.73654494  0.62245095  0.18275354
 -0.42572757  0.47295691  0.32945161  0.10129838  0.48896696  0.31701823
  0.3286053   1.00915234  0.63502976  0.40815708  0.6690169   0.8295521
  0.3169636  -0.0813639  -1.36882774  0.60243757  0.66221509  0.9534889
 -0.03568217 -0.1506447   0.12053925  1.06805361  1.67215056  2.46465213
 -1.07730673 -1.46916365 -2.17868662  1.51056878  1.90082441  1.59102739
 -0.37828281 -1.24353207 -1.5236001   1.04187611  1.19550346  1.17483135
 -0.93294803 -1.13827829 -1.56469965  0.31427915  1.212465    1.81284716
 -0.17938441 -0.52635332 -0.73622193  0.96340979  0.74444045  1.15212229
 -0.6807019  -0.86038342 -0.85018959  1.34123047  1.99494944  1.78066473
 -0.52179836 -0.98923046 -0.2842204   1.15478543  0.78513032  0.40526165
 -0.20149983  0.06034425 -0.11636919 -1.37499807 -0.11751406 -0.22483042
 -1.90581094 -1.51115469  0.84905658  1.53473397  1.05463648  0.96826433
  1.54582709  0.37444947 -1.73711362 -0.13527439  0.13172137 -0.22099388
 -0.78465723 -2.31117203 -1.69622223  0.03859229 -0.03916123  0.78035559
  1.43286182  0.46611767 -0.30023597 -0.0069576  -0.14619121  0.49677809
  0.60489353 -0.79623165 -0.9554824  -3.16863975 -1.48544434 -0.70467533
  2.74158466  4.2490241   2.28781046 -0.56774413  0.78833601  0.29273932
  1.21618065 -0.163062   -0.58590175  2.63547784  1.16421551 -0.25135844]"
